pathway,-log10(pvalue)
REACTOME TRANSCRIPTIONAL REGULATION OF WHITE ADIPOCYTE DIFFERENTIATION,15.112582896987147
REACTOME CIRCADIAN REPRESSION OF EXPRESSION BY REV ERBA,14.548847204290912
REACTOME RORA ACTIVATES CIRCADIAN EXPRESSION,14.399450845048493
BIOCARTA VDR PATHWAY,14.003095782414894
BIOCARTA PPARA PATHWAY,13.683335744263642
REACTOME FATTY ACID TRIACYLGLYCEROL AND KETONE BODY METABOLISM,13.629853257646205
REACTOME PPARA ACTIVATES GENE EXPRESSION,13.612740615776206
REACTOME BMAL1 CLOCK NPAS2 ACTIVATES CIRCADIAN EXPRESSION,13.021485876105709
REACTOME GENERIC TRANSCRIPTION PATHWAY,12.112182952637106
REACTOME CIRCADIAN CLOCK,11.761361215659203
REACTOME NUCLEAR RECEPTOR TRANSCRIPTION PATHWAY,9.838071573791842
BIOCARTA CARM ER PATHWAY,8.547638123514732
REACTOME DEVELOPMENTAL BIOLOGY,8.356358358261843
BIOCARTA RARRXR PATHWAY,8.036843892461837
REACTOME YAP1 AND WWTR1 TAZ STIMULATED GENE EXPRESSION,7.149743554844136
KEGG THYROID CANCER,6.802730598489753
REACTOME NOTCH1 INTRACELLULAR DOMAIN REGULATES TRANSCRIPTION,5.973554091517409
BIOCARTA CARM1 PATHWAY,5.8739468900102265
KEGG ADIPOCYTOKINE SIGNALING PATHWAY,5.311405928254496
KEGG PPAR SIGNALING PATHWAY,5.2600630234090495
REACTOME SIGNALING BY NOTCH1,5.234969840959964
KEGG PATHWAYS IN CANCER,4.879877367361566
REACTOME SIGNALING BY NOTCH,4.566966528744977
KEGG NOTCH SIGNALING PATHWAY,4.136373945827149
KEGG NON SMALL CELL LUNG CANCER,3.955060295958604
BIOCARTA EGFR SMRTE PATHWAY,3.7827249396327725
KEGG HUNTINGTONS DISEASE,3.576162193430369
REACTOME TRAF3 DEPENDENT IRF ACTIVATION PATHWAY,3.565402259674222
BIOCARTA PITX2 PATHWAY,3.503706323556135
BIOCARTA RELA PATHWAY,3.446166328663137
BIOCARTA IL7 PATHWAY,3.392260599849107
KEGG SMALL CELL LUNG CANCER,3.384672570741107
BIOCARTA TGFB PATHWAY,3.2937072089956407
REACTOME DOWNREGULATION OF SMAD2 3 SMAD4 TRANSCRIPTIONAL ACTIVITY,3.248401596034704
BIOCARTA NTHI PATHWAY,3.0880534380554643
REACTOME REGULATION OF HYPOXIA INDUCIBLE FACTOR HIF BY OXYGEN,3.0522930492172096
BIOCARTA PGC1A PATHWAY,3.017982707927049
